workerid,prolific_participant_id
24,5dd963868cf2f98f5a7626b3
47,5f1fd11cb9a8072056ec4e18
30,5b666901f7798c000182c01c
32,5b50881a59119400018abaf3
38,603ecbb0a0efddf848faf8a0
43,5fe00fdf29598a0f693d0c32
39,5edbe0d8856ca98967058222
29,5a2add709408dc00016f57d3
41,5ec6d40ca4bdbc110f22ad27
26,5ed885609d0c93397b6b50fd
27,5f69e570efe5a0026c75b499
44,5faddc2812af4c1fb9094708
31,6002db713a8d7830399f2c7d
28,5efe1fa306bbc52e5fde738d
37,5f4d2221a1cde598e2369c70
36,603e97018512c2f752512f0b
35,5f0e4a48e846d01911a9545d
40,5d1a5299781673001b8d3c9b
46,602bde2e0900883a33bf4667
33,5d0ec999085acd0019fd290b
