index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,path
52,control,left,exposure,Lahm,fill_nonword,Real,Pseudo,Lahm,NA,1,nonword/Lahm_1.mp3
53,control,left,exposure,Lail,fill_nonword,Real,Pseudo,Lail,NA,1,nonword/Lail_1.mp3
54,control,left,exposure,Lar,fill_nonword,Real,Pseudo,Lar,NA,1,nonword/Lar_1.mp3
55,control,left,exposure,Larrow,fill_nonword,Real,Pseudo,Larrow,NA,1,nonword/Larrow_1.mp3
56,control,left,exposure,Leonie,fill_nonword,Real,Pseudo,Leonie,NA,1,nonword/Leonie_1.mp3
57,control,left,exposure,Lermie,fill_nonword,Real,Pseudo,Lermie,NA,1,nonword/Lermie_1.mp3
58,control,left,exposure,Loanler,fill_nonword,Real,Pseudo,Loanler,NA,1,nonword/Loanler_1.mp3
59,control,left,exposure,Loff,fill_nonword,Real,Pseudo,Loff,NA,1,nonword/Loff_1.mp3
60,control,left,exposure,Lum,fill_nonword,Real,Pseudo,Lum,NA,1,nonword/Lum_1.mp3
61,control,left,exposure,Mallon,fill_nonword,Real,Pseudo,Mallon,NA,1,nonword/Mallon_1.mp3
62,control,left,exposure,Mang,fill_nonword,Real,Pseudo,Mang,NA,1,nonword/Mang_1.mp3
63,control,left,exposure,Mannow,fill_nonword,Real,Pseudo,Mannow,NA,1,nonword/Mannow_1.mp3
64,control,left,exposure,Marn,fill_nonword,Real,Pseudo,Marn,NA,1,nonword/Marn_1.mp3
65,control,left,exposure,Mawen,fill_nonword,Real,Pseudo,Mawen,NA,1,nonword/Mawen_1.mp3
66,control,left,exposure,Mawn,fill_nonword,Real,Pseudo,Mawn,NA,1,nonword/Mawn_1.mp3
67,control,left,exposure,Mayin,fill_nonword,Real,Pseudo,Mayin,NA,1,nonword/Mayin_1.mp3
68,control,left,exposure,Memmel,fill_nonword,Real,Pseudo,Memmel,NA,1,nonword/Memmel_1.mp3
69,control,left,exposure,Mewry,fill_nonword,Real,Pseudo,Mewry,NA,1,nonword/Mewry_1.mp3
70,control,left,exposure,Minnin,fill_nonword,Real,Pseudo,Minnin,NA,1,nonword/Minnin_1.mp3
71,control,left,exposure,Morial,fill_nonword,Real,Pseudo,Morial,NA,1,nonword/Morial_1.mp3
72,control,left,exposure,Mun,fill_nonword,Real,Pseudo,Mun,NA,1,nonword/Mun_1.mp3
73,control,left,exposure,Nallow,fill_nonword,Real,Pseudo,Nallow,NA,1,nonword/Nallow_1.mp3
74,control,left,exposure,Neoma,fill_nonword,Real,Pseudo,Neoma,NA,1,nonword/Neoma_1.mp3
75,control,left,exposure,Ner,fill_nonword,Real,Pseudo,Ner,NA,1,nonword/Ner_1.mp3
76,control,left,exposure,Noron,fill_nonword,Real,Pseudo,Noron,NA,1,nonword/Noron_1.mp3
77,control,left,exposure,Noy,fill_nonword,Real,Pseudo,Noy,NA,1,nonword/Noy_1.mp3
78,control,left,exposure,Orn,fill_nonword,Real,Pseudo,Orn,NA,1,nonword/Orn_1.mp3
79,control,left,exposure,Rame,fill_nonword,Real,Pseudo,Rame,NA,1,nonword/Rame_1.mp3
80,control,left,exposure,Rannel,fill_nonword,Real,Pseudo,Rannel,NA,1,nonword/Rannel_1.mp3
81,control,left,exposure,Rawl,fill_nonword,Real,Pseudo,Rawl,NA,1,nonword/Rawl_1.mp3
82,control,left,exposure,Reen,fill_nonword,Real,Pseudo,Reen,NA,2,nonword/Reen_2.mp3
83,control,left,exposure,Ria,fill_nonword,Real,Pseudo,Ria,NA,1,nonword/Ria_1.mp3
84,control,left,exposure,Sare,fill_nonword,Real,Pseudo,Sare,NA,1,nonword/Sare_1.mp3
85,control,left,exposure,Selmer,fill_nonword,Real,Pseudo,Selmer,NA,1,nonword/Selmer_1.mp3
86,control,left,exposure,Siller,fill_nonword,Real,Pseudo,Siller,NA,1,nonword/Siller_1.mp3
87,control,left,exposure,Slomb,fill_nonword,Real,Pseudo,Slomb,NA,1,nonword/Slomb_1.mp3
88,control,left,exposure,Smong,fill_nonword,Real,Pseudo,Smong,NA,1,nonword/Smong_1.mp3
89,control,left,exposure,Snoll,fill_nonword,Real,Pseudo,Snoll,NA,1,nonword/Snoll_1.mp3
90,control,left,exposure,Snyre,fill_nonword,Real,Pseudo,Snyre,NA,1,nonword/Snyre_1.mp3
91,control,left,exposure,Threen,fill_nonword,Real,Pseudo,Threen,NA,1,nonword/Threen_1.mp3
92,control,left,exposure,Vainyl,fill_nonword,Real,Pseudo,Vainyl,NA,1,nonword/Vainyl_1.mp3
93,control,left,exposure,Vallon,fill_nonword,Real,Pseudo,Vallon,NA,1,nonword/Vallon_1.mp3
94,control,left,exposure,Theen,fill_nonword,Real,Pseudo,Theen,NA,1,nonword/Theen_1.mp3
95,control,left,exposure,Vunn,fill_nonword,Real,Pseudo,Vunn,NA,1,nonword/Vunn_1.mp3
96,control,left,exposure,Werro,fill_nonword,Real,Pseudo,Werro,NA,1,nonword/Werro_1.mp3
97,control,left,exposure,Winal,fill_nonword,Real,Pseudo,Winal,NA,1,nonword/Winal_1.mp3
98,control,left,exposure,Woony,fill_nonword,Real,Pseudo,Woony,NA,1,nonword/Woony_1.mp3
99,control,left,exposure,Wyan,fill_nonword,Real,Pseudo,Wyan,NA,1,nonword/Wyan_1.mp3
100,control,left,exposure,Yorn,fill_nonword,Real,Pseudo,Yorn,NA,1,nonword/Yorn_1.mp3
101,control,left,exposure,Aisle,fill_word,Real,Pseudo,Aisle,NA,1,word/Aisle_1.mp3
102,control,left,exposure,Ally,fill_word,Real,Pseudo,Ally,NA,1,word/Ally_1.mp3
103,control,left,exposure,Area,fill_word,Real,Pseudo,Area,NA,1,word/Area_1.mp3
104,control,left,exposure,Arena,fill_word,Real,Pseudo,Arena,NA,1,word/Arena_1.mp3
105,control,left,exposure,Arrow,fill_word,Real,Pseudo,Arrow,NA,1,word/Arrow_1.mp3
106,control,left,exposure,Assume,fill_word,Real,Pseudo,Assume,NA,1,word/Assume_1.mp3
107,control,left,exposure,Aware,fill_word,Real,Pseudo,Aware,NA,1,word/Aware_1.mp3
108,control,left,exposure,Enemy,fill_word,Real,Pseudo,Enemy,NA,1,word/Enemy_1.mp3
109,control,left,exposure,Ensure,fill_word,Real,Pseudo,Ensure,NA,1,word/Ensure_1.mp3
110,control,left,exposure,Error,fill_word,Real,Pseudo,Error,NA,1,word/Error_1.mp3
111,control,left,exposure,Eye,fill_word,Real,Pseudo,Eye,NA,1,word/Eye_1.mp3
112,control,left,exposure,Failure,fill_word,Real,Pseudo,Failure,NA,1,word/Failure_1.mp3
113,control,left,exposure,Famous,fill_word,Real,Pseudo,Famous,NA,1,word/Famous_1.mp3
114,control,left,exposure,Flower,fill_word,Real,Pseudo,Flower,NA,1,word/Flower_1.mp3
115,control,left,exposure,Frame,fill_word,Real,Pseudo,Frame,NA,1,word/Frame_1.mp3
116,control,left,exposure,Funnel,fill_word,Real,Pseudo,Funnel,NA,1,word/Funnel_1.mp3
117,control,left,exposure,Hallway,fill_word,Real,Pseudo,Hallway,NA,1,word/Hallway_1.mp3
118,control,left,exposure,Hang,fill_word,Real,Pseudo,Hang,NA,1,word/Hang_1.mp3
119,control,left,exposure,Harmony,fill_word,Real,Pseudo,Harmony,NA,1,word/Harmony_1.mp3
120,control,left,exposure,Hill,fill_word,Real,Pseudo,Hill,NA,1,word/Hill_1.mp3
121,control,left,exposure,Hole,fill_word,Real,Pseudo,Hole,NA,1,word/Hole_1.mp3
122,control,left,exposure,Horn,fill_word,Real,Pseudo,Horn,NA,1,word/Horn_1.mp3
123,control,left,exposure,Jelly,fill_word,Real,Pseudo,Jelly,NA,2,word/Jelly_2.mp3
124,control,left,exposure,Jewel,fill_word,Real,Pseudo,Jewel,NA,1,word/Jewel_1.mp3
125,control,left,exposure,Lawyer,fill_word,Real,Pseudo,Lawyer,NA,1,word/Lawyer_1.mp3
126,control,left,exposure,Layer,fill_word,Real,Pseudo,Layer,NA,1,word/Layer_1.mp3
127,control,left,exposure,Learning,fill_word,Real,Pseudo,Learning,NA,1,word/Learning_1.mp3
128,control,left,exposure,Low,fill_word,Real,Pseudo,Low,NA,1,word/Low_1.mp3
129,control,left,exposure,Main,fill_word,Real,Pseudo,Main,NA,1,word/Main_1.mp3
130,control,left,exposure,Marine,fill_word,Real,Pseudo,Marine,NA,1,word/Marine_1.mp3
131,control,left,exposure,Memory,fill_word,Real,Pseudo,Memory,NA,1,word/Memory_1.mp3
132,control,left,exposure,Money,fill_word,Real,Pseudo,Money,NA,1,word/Money_1.mp3
133,control,left,exposure,Name,fill_word,Real,Pseudo,Name,NA,1,word/Name_1.mp3
134,control,left,exposure,Narrow,fill_word,Real,Pseudo,Narrow,NA,1,word/Narrow_1.mp3
135,control,left,exposure,Normal,fill_word,Real,Pseudo,Normal,NA,2,word/Normal_2.mp3
136,control,left,exposure,Nun,fill_word,Real,Pseudo,Nun,NA,1,word/Nun_1.mp3
137,control,left,exposure,Phenomenon,fill_word,Real,Pseudo,Phenomenon,NA,1,word/Phenomenon_1.mp3
138,control,left,exposure,Rally,fill_word,Real,Pseudo,Rally,NA,1,word/Rally_1.mp3
139,control,left,exposure,Range,fill_word,Real,Pseudo,Range,NA,1,word/Range_1.mp3
140,control,left,exposure,Real,fill_word,Real,Pseudo,Real,NA,1,word/Real_1.mp3
141,control,left,exposure,Reign,fill_word,Real,Pseudo,Reign,NA,1,word/Reign_1.mp3
142,control,left,exposure,Ring,fill_word,Real,Pseudo,Ring,NA,1,word/Ring_1.mp3
143,control,left,exposure,Roar,fill_word,Real,Pseudo,Roar,NA,1,word/Roar_1.mp3
144,control,left,exposure,Royal,fill_word,Real,Pseudo,Royal,NA,1,word/Royal_1.mp3
145,control,left,exposure,Ruin,fill_word,Real,Pseudo,Ruin,NA,1,word/Ruin_1.mp3
146,control,left,exposure,Rumor,fill_word,Real,Pseudo,Rumor,NA,1,word/Rumor_1.mp3
147,control,left,exposure,Runner,fill_word,Real,Pseudo,Runner,NA,1,word/Runner_1.mp3
148,control,left,exposure,Sailor,fill_word,Real,Pseudo,Sailor,NA,1,word/Sailor_1.mp3
149,control,left,exposure,Seal,fill_word,Real,Pseudo,Seal,NA,1,word/Seal_1.mp3
150,control,left,exposure,Shell,fill_word,Real,Pseudo,Shell,NA,1,word/Shell_1.mp3
151,control,left,exposure,Similar,fill_word,Real,Pseudo,Similar,NA,1,word/Similar_1.mp3
152,control,left,exposure,Soil,fill_word,Real,Pseudo,Soil,NA,1,word/Soil_1.mp3
153,control,left,exposure,Valley,fill_word,Real,Pseudo,Valley,NA,1,word/Valley_1.mp3
154,control,left,exposure,Vary,fill_word,Real,Pseudo,Vary,NA,1,word/Vary_1.mp3
155,control,left,exposure,Venue,fill_word,Real,Pseudo,Venue,NA,1,word/Venue_1.mp3
156,control,left,exposure,Violin,fill_word,Real,Pseudo,Violin,NA,1,word/Violin_1.mp3
157,control,left,exposure,Volume,fill_word,Real,Pseudo,Volume,NA,1,word/Volume_1.mp3
158,control,left,exposure,Sewer,fill_word,Real,Pseudo,Sewer,NA,1,word/Sewer_1.mp3
159,control,left,exposure,Swear,fill_word,Real,Pseudo,Swear,NA,1,word/Swear_1.mp3
160,control,left,exposure,Throne,fill_word,Real,Pseudo,Throne,NA,1,word/Throne_1.mp3
161,control,left,exposure,Aim,fill_word,Real,Pseudo,Aim,NA,1,word/Aim_1.mp3
162,control,left,exposure,Anomaly,fill_word,Real,Pseudo,Anomaly,NA,1,word/Anomaly_1.mp3
163,control,left,exposure,Celery,fill_word,Real,Pseudo,Celery,NA,2,word/Celery_2.mp3
164,control,left,exposure,Cellar,fill_word,Real,Pseudo,Cellar,NA,1,word/Cellar_1.mp3
165,control,left,exposure,Cereal,fill_word,Real,Pseudo,Cereal,NA,1,word/Cereal_1.mp3
166,control,left,exposure,Chain,fill_word,Real,Pseudo,Chain,NA,1,word/Chain_1.mp3
167,control,left,exposure,Channel,fill_word,Real,Pseudo,Channel,NA,1,word/Channel_1.mp3
168,control,left,exposure,Charm,fill_word,Real,Pseudo,Charm,NA,1,word/Charm_1.mp3
169,control,left,exposure,Cherry,fill_word,Real,Pseudo,Cherry,NA,1,word/Cherry_1.mp3
170,control,left,exposure,Cheer,fill_word,Real,Pseudo,Cheer,NA,1,word/Cheer_1.mp3
171,control,left,exposure,Chilly,fill_word,Real,Pseudo,Chilly,NA,1,word/Chilly_1.mp3
172,control,left,exposure,Early,fill_word,Real,Pseudo,Early,NA,1,word/Early_1.mp3
173,control,left,exposure,Earner,fill_word,Real,Pseudo,Earner,NA,1,word/Earner_1.mp3
174,control,left,exposure,Elm,fill_word,Real,Pseudo,Elm,NA,1,word/Elm_1.mp3
175,control,left,exposure,Enamel,fill_word,Real,Pseudo,Enamel,NA,1,word/Enamel_1.mp3
176,control,left,exposure,Enroll,fill_word,Real,Pseudo,Enroll,NA,1,word/Enroll_1.mp3
177,control,left,exposure,Fairy,fill_word,Real,Pseudo,Fairy,NA,1,word/Fairy_1.mp3
178,control,left,exposure,Fallow,fill_word,Real,Pseudo,Fallow,NA,1,word/Fallow_1.mp3
179,control,left,exposure,Family,fill_word,Real,Pseudo,Family,NA,1,word/Family_1.mp3
180,control,left,exposure,Farm,fill_word,Real,Pseudo,Farm,NA,1,word/Farm_1.mp3
181,control,left,exposure,Faun,fill_word,Real,Pseudo,Faun,NA,1,word/Faun_1.mp3
182,control,left,exposure,Fear,fill_word,Real,Pseudo,Fear,NA,1,word/Fear_1.mp3
183,control,left,exposure,Felony,fill_word,Real,Pseudo,Felony,NA,1,word/Felony_1.mp3
184,control,left,exposure,Film,fill_word,Real,Pseudo,Film,NA,1,word/Film_1.mp3
185,control,left,exposure,Gnome,fill_word,Real,Pseudo,Gnome,NA,1,word/Gnome_1.mp3
186,control,left,exposure,Hair,fill_word,Real,Pseudo,Hair,NA,1,word/Hair_1.mp3
187,control,left,exposure,Halo,fill_word,Real,Pseudo,Halo,NA,1,word/Halo_1.mp3
188,control,left,exposure,Harm,fill_word,Real,Pseudo,Harm,NA,1,word/Harm_1.mp3
189,control,left,exposure,Hero,fill_word,Real,Pseudo,Hero,NA,1,word/Hero_1.mp3
190,control,left,exposure,Owl,fill_word,Real,Pseudo,Owl,NA,1,word/Owl_1.mp3
191,control,left,exposure,Psalm,fill_word,Real,Pseudo,Psalm,NA,1,word/Psalm_1.mp3
192,control,left,exposure,Rail,fill_word,Real,Pseudo,Rail,NA,1,word/Rail_1.mp3
193,control,left,exposure,Realign,fill_word,Real,Pseudo,Realign,NA,1,word/Realign_1.mp3
194,control,left,exposure,Rely,fill_word,Real,Pseudo,Rely,NA,1,word/Rely_1.mp3
195,control,left,exposure,Rule,fill_word,Real,Pseudo,Rule,NA,1,word/Rule_1.mp3
196,control,left,exposure,Room,fill_word,Real,Pseudo,Room,NA,1,word/Room_1.mp3
197,control,left,exposure,Rural,fill_word,Real,Pseudo,Rural,NA,1,word/Rural_1.mp3
198,control,left,exposure,Salary,fill_word,Real,Pseudo,Salary,NA,1,word/Salary_1.mp3
199,control,left,exposure,Scenery,fill_word,Real,Pseudo,Scenery,NA,1,word/Scenery_1.mp3
200,control,left,exposure,Seminar,fill_word,Real,Pseudo,Seminar,NA,1,word/Seminar_1.mp3
