index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,path
1,control,left,exposure,balinomy_palinomy,crit_nonword,yes,no,balinomy_palinomy_1,23,1,amb_nonword/balinomy_palinomy_1_23.mp3
2,control,left,exposure,baln_paln,crit_nonword,yes,no,baln_paln_3,22,3,amb_nonword/baln_paln_3_22.mp3
3,control,left,exposure,bamurre_pamurre,crit_nonword,yes,no,bamurre_pamurre_3,21,3,amb_nonword/bamurre_pamurre_3_21.mp3
4,control,left,exposure,bangle_pangle,crit_nonword,yes,no,bangle_pangle_3,22,3,amb_nonword/bangle_pangle_3_22.mp3
5,control,left,exposure,barema_parema,crit_nonword,yes,no,barema_parema_3,21,3,amb_nonword/barema_parema_3_21.mp3
6,control,left,exposure,barl_parl,crit_nonword,yes,no,barl_parl_3,22,3,amb_nonword/barl_parl_3_22.mp3
7,control,left,exposure,belammer_pelammer,crit_nonword,yes,no,belammer_pelammer_3,17,3,amb_nonword/belammer_pelammer_3_17.mp3
8,control,left,exposure,bellon_pellon,crit_nonword,yes,no,bellon_pellon_1,19,1,amb_nonword/bellon_pellon_1_19.mp3
9,control,left,exposure,bemmela_pemmela,crit_nonword,yes,no,bemmela_pemmela_3,29,3,amb_nonword/bemmela_pemmela_3_29.mp3
10,control,left,exposure,bemmerle_pemmerle,crit_nonword,yes,no,bemmerle_pemmerle_3,23,3,amb_nonword/bemmerle_pemmerle_3_23.mp3
11,control,left,exposure,benlow_penlow,crit_nonword,yes,no,benlow_penlow_1,18,1,amb_nonword/benlow_penlow_1_18.mp3
12,control,left,exposure,bennim_pennim,crit_nonword,yes,no,bennim_pennim_3,22,3,amb_nonword/bennim_pennim_3_22.mp3
13,control,left,exposure,Bewry_Pewry,crit_nonword,yes,no,Bewry_Pewry_1,16,1,amb_nonword/Bewry_Pewry_1_16.mp3
14,control,left,exposure,bim_pim,crit_nonword,yes,no,bim_pim_3,15,3,amb_nonword/bim_pim_3_15.mp3
15,control,left,exposure,bimmel_pimmel,crit_nonword,yes,no,bimmel_pimmel_1,20,1,amb_nonword/bimmel_pimmel_1_20.mp3
16,control,left,exposure,binneran_pinneran,crit_nonword,yes,no,binneran_pinneran_1,21,1,amb_nonword/binneran_pinneran_1_21.mp3
17,control,left,exposure,borl_porl,crit_nonword,yes,no,borl_porl_3,17,3,amb_nonword/borl_porl_3_17.mp3
18,control,left,exposure,boyer_poyer,crit_nonword,yes,no,boyer_poyer_3,17,3,amb_nonword/boyer_poyer_3_17.mp3
19,control,left,exposure,brynon_prynon,crit_nonword,yes,no,brynon_prynon_1,22,1,amb_nonword/brynon_prynon_1_22.mp3
20,control,left,exposure,bunnel_punnel,crit_nonword,yes,no,bunnel_punnel_3,28,3,amb_nonword/bunnel_punnel_3_28.mp3
21,control,left,exposure,Aller,fill_nonword,yes,no,Aller,NA,1,nonword/Aller_1.mp3
22,control,left,exposure,Arema,fill_nonword,yes,no,Arema,NA,1,nonword/Arema_1.mp3
23,control,left,exposure,Chame,fill_nonword,yes,no,Chame,NA,1,nonword/Chame_1.mp3
24,control,left,exposure,Cheel,fill_nonword,yes,no,Cheel,NA,1,nonword/Cheel_1.mp3
25,control,left,exposure,Churr,fill_nonword,yes,no,Churr,NA,1,nonword/Churr_1.mp3
26,control,left,exposure,Eamer,fill_nonword,yes,no,Eamer,NA,1,nonword/Eamer_1.mp3
27,control,left,exposure,Eelam,fill_nonword,yes,no,Eelam,NA,1,nonword/Eelam_1.mp3
28,control,left,exposure,Eynam,fill_nonword,yes,no,Eynam,NA,1,nonword/Eynam_1.mp3
29,control,left,exposure,Feen,fill_nonword,yes,no,Feen,NA,1,nonword/Feen_1.mp3
30,control,left,exposure,Felmy,fill_nonword,yes,no,Felmy,NA,1,nonword/Felmy_1.mp3
