index,group,yes_side,phase,type,audio,match,same_onset,needs_match_onset,visual_target,word_sel,nonword_sel,step,path
46,P_group,left,exposure,fill_word,Assume,1,1,2,Assume,SAME,DIFFERENT,NA,word/Assume_1.mp3
47,P_group,left,exposure,fill_word,Aware,0,1,1,Arrest,SAME,DIFFERENT,NA,word/Aware_1.mp3
48,P_group,left,exposure,fill_word,Enemy,0,1,1,Energy,SAME,DIFFERENT,NA,word/Enemy_1.mp3
49,P_group,left,exposure,fill_word,Ensure,1,1,2,Ensure,SAME,DIFFERENT,NA,word/Ensure_1.mp3
50,P_group,left,exposure,fill_word,Error,0,0,0,Lonely,SAME,DIFFERENT,NA,word/Error_1.mp3
51,P_group,left,exposure,fill_word,Eye,0,0,0,Verdict,SAME,DIFFERENT,NA,word/Eye_1.mp3
52,P_group,left,exposure,fill_word,Failure,1,1,2,Failure,SAME,DIFFERENT,NA,word/Failure_1.mp3
53,P_group,left,exposure,fill_word,Famous,0,0,0,Loss,SAME,DIFFERENT,NA,word/Famous_1.mp3
54,P_group,left,exposure,fill_word,Flower,0,1,1,Flourish,SAME,DIFFERENT,NA,word/Flower_1.mp3
55,P_group,left,exposure,fill_word,Frame,0,1,1,Frown,SAME,DIFFERENT,NA,word/Frame_1.mp3
56,P_group,left,exposure,fill_word,Funnel,0,0,0,Deny,SAME,DIFFERENT,NA,word/Funnel_1.mp3
57,P_group,left,exposure,fill_word,Hallway,0,1,1,Harvest,SAME,DIFFERENT,NA,word/Hallway_1.mp3
58,P_group,left,exposure,fill_word,Hang,1,1,2,Hang,SAME,DIFFERENT,NA,word/Hang_1.mp3
59,P_group,left,exposure,fill_word,Harmony,0,1,1,Habitat,SAME,DIFFERENT,NA,word/Harmony_1.mp3
60,P_group,left,exposure,fill_word,Hill,1,1,2,Hill,SAME,DIFFERENT,NA,word/Hill_1.mp3
61,P_group,left,exposure,fill_word,Hole,0,1,1,Hurl,SAME,DIFFERENT,NA,word/Hole_1.mp3
62,P_group,left,exposure,fill_word,Horn,0,1,1,Heel,SAME,DIFFERENT,NA,word/Horn_1.mp3
63,P_group,left,exposure,fill_word,Jelly,1,1,2,Jelly,SAME,DIFFERENT,NA,word/Jelly_2.mp3
64,P_group,left,exposure,fill_word,Jewel,0,0,0,Tribute,SAME,DIFFERENT,NA,word/Jewel_1.mp3
65,P_group,left,exposure,fill_word,Lawyer,0,0,0,Advice,SAME,DIFFERENT,NA,word/Lawyer_1.mp3
66,P_group,left,exposure,fill_word,Layer,1,1,2,Layer,SAME,DIFFERENT,NA,word/Layer_1.mp3
67,P_group,left,exposure,fill_word,Learning,1,1,2,Learning,SAME,DIFFERENT,NA,word/Learning_1.mp3
68,P_group,left,exposure,fill_word,Low,1,1,2,Low,SAME,DIFFERENT,NA,word/Low_1.mp3
69,P_group,left,exposure,fill_word,Main,0,1,1,Maid,SAME,DIFFERENT,NA,word/Main_1.mp3
70,P_group,left,exposure,fill_word,Marine,0,1,1,Mature,SAME,DIFFERENT,NA,word/Marine_1.mp3
71,P_group,left,exposure,fill_word,Memory,1,1,2,Memory,SAME,DIFFERENT,NA,word/Memory_1.mp3
72,P_group,left,exposure,fill_word,Money,1,1,2,Money,SAME,DIFFERENT,NA,word/Money_1.mp3
73,P_group,left,exposure,fill_word,Name,0,0,0,Favor,SAME,DIFFERENT,NA,word/Name_1.mp3
74,P_group,left,exposure,fill_word,Narrow,0,0,0,Ankle,SAME,DIFFERENT,NA,word/Narrow_1.mp3
75,P_group,left,exposure,fill_word,Normal,0,1,1,Nervous,SAME,DIFFERENT,NA,word/Normal_2.mp3
76,P_group,left,exposure,fill_word,Nun,1,1,2,Nun,SAME,DIFFERENT,NA,word/Nun_1.mp3
77,P_group,left,exposure,fill_word,Phenomenon,0,0,0,Replace,SAME,DIFFERENT,NA,word/Phenomenon_1.mp3
78,P_group,left,exposure,fill_word,Rally,0,0,0,Knowledge,SAME,DIFFERENT,NA,word/Rally_1.mp3
79,P_group,left,exposure,fill_word,Range,0,0,0,Spirit,SAME,DIFFERENT,NA,word/Range_1.mp3
80,P_group,left,exposure,fill_word,Real,1,1,2,Real,SAME,DIFFERENT,NA,word/Real_1.mp3
81,P_group,left,exposure,fill_word,Reign,0,0,0,Kettle,SAME,DIFFERENT,NA,word/Reign_1.mp3
82,P_group,left,exposure,fill_word,Ring,0,0,0,Retreat,SAME,DIFFERENT,NA,word/Ring_1.mp3
83,P_group,left,exposure,fill_word,Roar,1,1,2,Roar,SAME,DIFFERENT,NA,word/Roar_1.mp3
84,P_group,left,exposure,fill_word,Royal,0,1,1,Refund,SAME,DIFFERENT,NA,word/Royal_1.mp3
85,P_group,left,exposure,fill_word,Ruin,1,1,2,Ruin,SAME,DIFFERENT,NA,word/Ruin_1.mp3
86,P_group,left,exposure,fill_word,Rumor,1,1,2,Rumor,SAME,DIFFERENT,NA,word/Rumor_1.mp3
87,P_group,left,exposure,fill_word,Runner,0,1,1,River,SAME,DIFFERENT,NA,word/Runner_1.mp3
88,P_group,left,exposure,fill_word,Sailor,0,0,0,Mine,SAME,DIFFERENT,NA,word/Sailor_1.mp3
89,P_group,left,exposure,fill_word,Seal,0,0,0,Chorus,SAME,DIFFERENT,NA,word/Seal_1.mp3
90,P_group,left,exposure,fill_word,Shell,0,0,0,Major,SAME,DIFFERENT,NA,word/Shell_1.mp3
91,P_group,left,exposure,fill_word,Similar,0,1,1,Seminar,SAME,DIFFERENT,NA,word/Similar_1.mp3
92,P_group,left,exposure,fill_word,Soil,0,1,1,Spoil,SAME,DIFFERENT,NA,word/Soil_1.mp3
93,P_group,left,exposure,fill_word,Valley,0,0,0,Greeting,SAME,DIFFERENT,NA,word/Valley_1.mp3
94,P_group,left,exposure,fill_word,Vary,1,1,2,Vary,SAME,DIFFERENT,NA,word/Vary_1.mp3
95,P_group,left,exposure,fill_word,Venue,0,1,1,Vessel,SAME,DIFFERENT,NA,word/Venue_1.mp3
96,P_group,left,exposure,fill_word,Violin,1,1,2,Violin,SAME,DIFFERENT,NA,word/Violin_1.mp3
97,P_group,left,exposure,fill_word,Volume,0,0,0,Physical,SAME,DIFFERENT,NA,word/Volume_1.mp3
98,P_group,left,exposure,fill_word,Sewer,0,0,0,Layout,SAME,DIFFERENT,NA,word/Sewer_1.mp3
99,P_group,left,exposure,fill_word,Swear,0,0,0,Remark,SAME,DIFFERENT,NA,word/Swear_1.mp3
100,P_group,left,exposure,fill_word,Throne,1,1,2,Throne,SAME,DIFFERENT,NA,word/Throne_1.mp3
