group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path,code
b_group,exposure,crit_unamb,Ballerina,NA,1,1,2,Ballerina,yes,NA,NA,NA,NA,SAME,DIFFERENT,17,audio/ambiguous_b/Banana_Panana_3_17.wav,1
b_group,exposure,crit_unamb,Balloon,NA,0,0,0,Enlarge,no,NA,NA,NA,NA,SAME,DIFFERENT,15,audio/ambiguous_b/Ballerina_Pallerina_1_15.wav,2
b_group,exposure,crit_unamb,Baloney,NA,1,1,2,Baloney,yes,NA,NA,NA,NA,SAME,DIFFERENT,12,audio/ambiguous_b/Balloon_Palloon_3_12.wav,3
b_group,exposure,crit_unamb,Banana,NA,1,1,2,Banana,yes,NA,NA,NA,NA,SAME,DIFFERENT,10,audio/ambiguous_b/Baloney_Paloney_1_10.wav,4
b_group,exposure,crit_unamb,Barely,NA,1,1,2,Barely,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,audio/ambiguous_b/Barely_Parely_1_15.wav,5
b_group,exposure,crit_unamb,Barn,NA,0,1,1,Bark,no,NA,NA,NA,NA,SAME,DIFFERENT,20,audio/ambiguous_b/Barn_Parn_1_20.wav,6
b_group,exposure,crit_unamb,Barren,NA,1,1,2,Barren,yes,NA,NA,NA,NA,SAME,DIFFERENT,20,audio/ambiguous_b/Barren_Parren_3_20.wav,7
b_group,exposure,crit_unamb,Belly,NA,0,1,1,Berry,no,NA,NA,NA,NA,SAME,DIFFERENT,20,audio/ambiguous_b/Belly_Pelly_3_20.wav,8
b_group,exposure,crit_unamb,Benign,NA,1,1,2,Benign,yes,NA,NA,NA,NA,SAME,DIFFERENT,14,audio/ambiguous_b/Benign_Penign_3_14.wav,9
b_group,exposure,crit_unamb,Biannual,NA,1,1,2,Biannual,yes,NA,NA,NA,NA,SAME,DIFFERENT,7,audio/ambiguous_b/Biannual_Piannual_3_07.wav,10
b_group,exposure,crit_unamb,Billion,NA,0,1,1,Bitter,no,NA,NA,NA,NA,SAME,DIFFERENT,18,audio/ambiguous_b/Billion_Pillion_3_18.wav,11
b_group,exposure,crit_unamb,Billionaire,NA,1,1,2,Billionaire,yes,NA,NA,NA,NA,SAME,DIFFERENT,8,audio/ambiguous_b/Billionaire_Pillionaire_3_08.wav,12
b_group,exposure,crit_unamb,Blue,NA,0,0,0,Colleague,no,NA,NA,NA,NA,SAME,DIFFERENT,17,audio/ambiguous_b/Blue_Plue_3_17.wav,13
b_group,exposure,crit_unamb,Boil,NA,1,1,2,Boil,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,audio/ambiguous_b/Boil_Poil_1_15.wav,14
b_group,exposure,crit_unamb,Boom,NA,1,1,2,Boom,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,audio/ambiguous_b/Boom_Poom_1_15.wav,15
b_group,exposure,crit_unamb,Brain,NA,1,1,2,Brain,yes,NA,NA,NA,NA,SAME,DIFFERENT,19,audio/ambiguous_b/Brain_Prain_3_19.wav,16
b_group,exposure,crit_unamb,Brewery,NA,1,1,2,Brewery,yes,NA,NA,NA,NA,SAME,DIFFERENT,13,audio/ambiguous_b/Brewery_Prewery_1_13.wav,17
b_group,exposure,crit_unamb,Brown,NA,1,1,2,Brown,yes,NA,NA,NA,NA,SAME,DIFFERENT,11,audio/ambiguous_b/Brown_Prown_3_11.wav,18
b_group,exposure,crit_unamb,Burial,NA,1,1,2,Burial,yes,NA,NA,NA,NA,SAME,DIFFERENT,17,audio/ambiguous_b/Burial_Purial_1_17.wav,19
b_group,exposure,crit_unamb,Burrow,NA,1,1,2,Burrow,yes,NA,NA,NA,NA,SAME,DIFFERENT,9,audio/ambiguous_b/Burrow_Purrow_3_09.wav,20
b_group,exposure,crit_unamb,Parallel,NA,1,1,2,Parallel,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Barallel_Parallel_4_00.wav,21
b_group,exposure,crit_unamb,Parlor,NA,0,0,0,Neutral,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Barlor_Parlor_4_00.wav,22
b_group,exposure,crit_unamb,Pawn,NA,1,1,2,Pawn,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bawn_Pawn_2_00.wav,23
b_group,exposure,crit_unamb,Peninsula,NA,1,1,2,Peninsula,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Beninsula_Peninsula_2_00.wav,24
b_group,exposure,crit_unamb,Perform,NA,1,1,2,Perform,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Berform_Perform_2_00.wav,25
b_group,exposure,crit_unamb,Pioneer,NA,0,1,1,Pillow,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bioneer_Pioneer_4_00.wav,26
b_group,exposure,crit_unamb,Planner,NA,1,1,2,Planner,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Blanner_Planner_2_00.wav,27
b_group,exposure,crit_unamb,Plea,NA,0,1,1,Pick,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Blea_Plea_2_00.wav,28
b_group,exposure,crit_unamb,Plyer,NA,1,1,2,Plyer,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Blyer_Plyer_2_00.wav,29
b_group,exposure,crit_unamb,Pollen,NA,1,1,2,Pollen,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bollen_Pollen_2_00.wav,30
b_group,exposure,crit_unamb,Polymer,NA,0,1,1,Pottery,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bolymer_Polymer_2_00.wav,31
b_group,exposure,crit_unamb,Prayer,NA,1,1,2,Prayer,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brayer_Prayer_2_00.wav,32
b_group,exposure,crit_unamb,Preliminary,NA,0,0,0,Temple,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Breliminary_Preliminary_2_00.wav,33
b_group,exposure,crit_unamb,Premier,NA,1,1,2,Premier,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bremier_Premier_2_00.wav,34
b_group,exposure,crit_unamb,Primal,NA,1,1,2,Primal,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brimal_Primal_2_00.wav,35
b_group,exposure,crit_unamb,Prime,NA,1,1,2,Prime,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brime_Prime_2_00.wav,36
b_group,exposure,crit_unamb,Prior,NA,1,1,2,Prior,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brior_Prior_2_00.wav,37
b_group,exposure,crit_unamb,Prowl,NA,1,1,2,Prowl,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Browl_Prowl_2_00.wav,38
b_group,exposure,crit_unamb,Pry,NA,1,1,2,Pry,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bry_Pry_2_00.wav,39
b_group,exposure,crit_unamb,Pylon,NA,1,1,2,Pylon,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bylon_Pylon_2_00.wav,40
b_group,exposure_set,fill_word,Aisle,NA,0,0,0,Outfit,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Aisle_1.wav,41
b_group,exposure,fill_word,Ally,NA,0,1,1,Agile,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ally_1.wav,42
b_group,exposure,fill_word,Area,NA,0,1,1,Arrogant,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Area_1.wav,43
b_group,exposure,fill_word,Arena,NA,1,1,2,Arena,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Arena_1.wav,44
b_group,exposure,fill_word,Arrow,NA,0,1,1,Ambition,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Arrow_1.wav,45
b_group,exposure,fill_word,Assume,NA,1,1,2,Assume,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Assume_1.wav,46
b_group,exposure,fill_word,Aware,NA,0,1,1,Arrest,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Aware_1.wav,47
b_group,exposure,fill_word,Enemy,NA,0,1,1,Energy,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Enemy_1.wav,48
b_group,exposure,fill_word,Ensure,NA,1,1,2,Ensure,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ensure_1.wav,49
b_group,exposure,fill_word,Error,NA,0,0,0,Lonely,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Error_1.wav,50
b_group,exposure,fill_word,Eye,NA,0,0,0,Verdict,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Eye_1.wav,51
b_group,exposure,fill_word,Failure,NA,1,1,2,Failure,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Failure_1.wav,52
b_group,exposure,fill_word,Famous,NA,0,0,0,Loss,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Famous_1.wav,53
b_group,exposure,fill_word,Flower,NA,0,1,1,Flourish,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Flower_1.wav,54
b_group,exposure,fill_word,Frame,NA,0,1,1,Frown,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Frame_1.wav,55
b_group,exposure,fill_word,Funnel,NA,0,0,0,Deny,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Funnel_1.wav,56
b_group,exposure,fill_word,Hallway,NA,0,1,1,Harvest,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hallway_1.wav,57
b_group,exposure,fill_word,Hang,NA,1,1,2,Hang,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hang_1.wav,58
b_group,exposure_set,fill_word,Harmony,NA,0,1,1,Habitat,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Harmony_1.wav,59
b_group,exposure,fill_word,Hill,NA,1,1,2,Hill,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hill_1.wav,60
b_group,exposure,fill_word,Hole,NA,0,1,1,Hurl,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hole_1.wav,61
b_group,exposure,fill_word,Horn,NA,0,1,1,Heel,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Horn_1.wav,62
b_group,exposure,fill_word,Jelly,NA,1,1,2,Jelly,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Jelly_2.wav,63
b_group,exposure,fill_word,Jewel,NA,0,0,0,Tribute,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Jewel_1.wav,64
b_group,exposure,fill_word,Lawyer,NA,0,0,0,Advice,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Lawyer_1.wav,65
b_group,exposure,fill_word,Layer,NA,1,1,2,Layer,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Layer_1.wav,66
b_group,exposure,fill_word,Learning,NA,1,1,2,Learning,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Learning_1.wav,67
b_group,exposure,fill_word,Low,NA,1,1,2,Low,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Low_1.wav,68
b_group,exposure,fill_word,Main,NA,0,1,1,Maid,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Main_1.wav,69
b_group,exposure,fill_word,Marine,NA,0,1,1,Mature,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Marine_1.wav,70
b_group,exposure,fill_word,Memory,NA,1,1,2,Memory,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Memory_1.wav,71
b_group,exposure,fill_word,Money,NA,1,1,2,Money,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Money_1.wav,72
b_group,exposure,fill_word,Name,NA,0,0,0,Favor,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Name_1.wav,73
b_group,exposure,fill_word,Narrow,NA,0,0,0,Ankle,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Narrow_1.wav,74
b_group,exposure,fill_word,Normal,NA,0,1,1,Nervous,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Normal_2.wav,75
b_group,exposure,fill_word,Nun,NA,1,1,2,Nun,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Nun_1.wav,76
b_group,exposure,fill_word,Phenomenon,NA,0,0,0,Replace,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Phenomenon_1.wav,77
b_group,exposure,fill_word,Rally,NA,0,0,0,Knowledge,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Rally_1.wav,78
b_group,exposure,fill_word,Range,NA,0,0,0,Spirit,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Range_1.wav,79
b_group,exposure_set,fill_word,Real,NA,1,1,2,Real,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Real_1.wav,80
b_group,exposure,fill_word,Reign,NA,0,0,0,Kettle,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Reign_1.wav,81
b_group,exposure,fill_word,Ring,NA,0,0,0,Retreat,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ring_1.wav,82
b_group,exposure,fill_word,Roar,NA,1,1,2,Roar,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Roar_1.wav,83
b_group,exposure,fill_word,Royal,NA,0,1,1,Refund,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Royal_1.wav,84
b_group,exposure,fill_word,Ruin,NA,1,1,2,Ruin,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ruin_1.wav,85
b_group,exposure,fill_word,Rumor,NA,1,1,2,Rumor,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Rumor_1.wav,86
b_group,exposure,fill_word,Runner,NA,0,1,1,River,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Runner_1.wav,87
b_group,exposure,fill_word,Sailor,NA,0,0,0,Mine,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Sailor_1.wav,88
b_group,exposure,fill_word,Seal,NA,0,0,0,Chorus,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Seal_1.wav,89
b_group,exposure,fill_word,Shell,NA,0,0,0,Major,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Shell_1.wav,90
b_group,exposure,fill_word,Similar,NA,0,1,1,Seminar,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Similar_1.wav,91
b_group,exposure,fill_word,Soil,NA,0,1,1,Spoil,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Soil_1.wav,92
b_group,exposure,fill_word,Valley,NA,0,0,0,Greeting,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Valley_1.wav,93
b_group,exposure,fill_word,Vary,NA,1,1,2,Vary,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Vary_1.wav,94
b_group,exposure,fill_word,Venue,NA,0,1,1,Vessel,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Venue_1.wav,95
b_group,exposure_set,fill_word,Violin,NA,1,1,2,Violin,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Violin_1.wav,96
b_group,exposure,fill_word,Volume,NA,0,0,0,Physical,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Volume_1.wav,97
b_group,exposure,fill_word,Sewer,NA,0,0,0,Layout,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Sewer_1.wav,98
b_group,exposure,fill_word,Swear,NA,0,0,0,Remark,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Swear_1.wav,99
b_group,exposure,fill_word,Throne,NA,1,1,2,Throne,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Throne_1.wav,100
b_group,test_onset,onset_syllable,BAA_PAA_3_00,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,0,audio/onset_syllables/BAA_PAA_3_00.wav,101
b_group,test_onset,onset_syllable,BAA_PAA_3_05,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,5,audio/onset_syllables/BAA_PAA_3_05.wav,102
b_group,test_onset,onset_syllable,BAA_PAA_3_10,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,10,audio/onset_syllables/BAA_PAA_3_10.wav,103
b_group,test_onset,onset_syllable,BAA_PAA_3_15,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,15,audio/onset_syllables/BAA_PAA_3_15.wav,104
b_group,test_onset,onset_syllable,BAA_PAA_3_18,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,18,audio/onset_syllables/BAA_PAA_3_18.wav,105
b_group,test_onset,onset_syllable,BAA_PAA_3_20,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,20,audio/onset_syllables/BAA_PAA_3_20.wav,106
b_group,test_onset,onset_syllable,BAA_PAA_3_22,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,22,audio/onset_syllables/BAA_PAA_3_22.wav,107
b_group,test_onset,onset_syllable,BAA_PAA_3_24,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,24,audio/onset_syllables/BAA_PAA_3_24.wav,108
b_group,test_onset,onset_syllable,BAA_PAA_3_27,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,27,audio/onset_syllables/BAA_PAA_3_27.wav,109
b_group,test_onset,onset_syllable,BAA_PAA_3_30,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,30,audio/onset_syllables/BAA_PAA_3_30.wav,110
