index,group,phase,target,type,word_sel,nonword_sel,set,step,recording,path
61,B_group,exposure,Hole,fill_word,Yes,No,Hole,NA,1,Hole_1.mp3
62,B_group,exposure,Horn,fill_word,Yes,No,Horn,NA,1,Horn_1.mp3
63,B_group,exposure,Jelly,fill_word,Yes,No,Jelly,NA,1,Jelly_1.mp3
64,B_group,exposure,Jewel,fill_word,Yes,No,Jewel,NA,1,Jewel_1.mp3
65,B_group,exposure,Lawyer,fill_word,Yes,No,Lawyer,NA,1,Lawyer_1.mp3
66,B_group,exposure,Layer,fill_word,Yes,No,Layer,NA,1,Layer_1.mp3
67,B_group,exposure,Learning,fill_word,Yes,No,Learning,NA,1,Learning_1.mp3
68,B_group,exposure,Low,fill_word,Yes,No,Low,NA,1,Low_1.mp3
69,B_group,exposure,Main,fill_word,Yes,No,Main,NA,1,Main_1.mp3
70,B_group,exposure,Marine,fill_word,Yes,No,Marine,NA,1,Marine_1.mp3
71,B_group,exposure,Memory,fill_word,Yes,No,Memory,NA,1,Memory_1.mp3
72,B_group,exposure,Money,fill_word,Yes,No,Money,NA,1,Money_1.mp3
73,B_group,exposure,Name,fill_word,Yes,No,Name,NA,1,Name_1.mp3
74,B_group,exposure,Narrow,fill_word,Yes,No,Narrow,NA,1,Narrow_1.mp3
75,B_group,exposure,Normal,fill_word,Yes,No,Normal,NA,1,Normal_1.mp3
76,B_group,exposure,Nun,fill_word,Yes,No,Nun,NA,1,Nun_1.mp3
77,B_group,exposure,Phenomenon,fill_word,Yes,No,Phenomenon,NA,1,Phenomenon_1.mp3
78,B_group,exposure,Rally,fill_word,Yes,No,Rally,NA,1,Rally_1.mp3
79,B_group,exposure,Range,fill_word,Yes,No,Range,NA,1,Range_1.mp3
80,B_group,exposure,Real,fill_word,Yes,No,Real,NA,1,Real_1.mp3
81,B_group,exposure,Reign,fill_word,Yes,No,Reign,NA,1,Reign_1.mp3
82,B_group,exposure,Ring,fill_word,Yes,No,Ring,NA,1,Ring_1.mp3
83,B_group,exposure,Roar,fill_word,Yes,No,Roar,NA,1,Roar_1.mp3
84,B_group,exposure,Royal,fill_word,Yes,No,Royal,NA,1,Royal_1.mp3
85,B_group,exposure,Ruin,fill_word,Yes,No,Ruin,NA,1,Ruin_1.mp3
86,B_group,exposure,Rumor,fill_word,Yes,No,Rumor,NA,1,Rumor_1.mp3
87,B_group,exposure,Runner,fill_word,Yes,No,Runner,NA,1,Runner_1.mp3
88,B_group,exposure,Sailor,fill_word,Yes,No,Sailor,NA,1,Sailor_1.mp3
89,B_group,exposure,Seal,fill_word,Yes,No,Seal,NA,1,Seal_1.mp3
90,B_group,exposure,Shell,fill_word,Yes,No,Shell,NA,1,Shell_1.mp3
91,B_group,exposure,Similar,fill_word,Yes,No,Similar,NA,1,Similar_1.mp3
92,B_group,exposure,Soil,fill_word,Yes,No,Soil,NA,1,Soil_1.mp3
93,B_group,exposure,Valley,fill_word,Yes,No,Valley,NA,1,Valley_1.mp3
94,B_group,exposure,Vary,fill_word,Yes,No,Vary,NA,1,Vary_1.mp3
95,B_group,exposure,Venue,fill_word,Yes,No,Venue,NA,1,Venue_1.mp3
96,B_group,exposure,Violin,fill_word,Yes,No,Violin,NA,1,Violin_1.mp3
97,B_group,exposure,Volume,fill_word,Yes,No,Volume,NA,1,Volume_1.mp3
98,B_group,exposure,Sewer,fill_word,Yes,No,Sewer,NA,1,Sewer_1.mp3
99,B_group,exposure,Swear,fill_word,Yes,No,Swear,NA,1,Swear_1.mp3
100,B_group,exposure,Throne,fill_word,Yes,No,Throne,NA,1,Throne_1.mp3
101,B_group,exposure,Alinomy,fill_nonword,Yes,No,Alinomy,NA,1,Alinomy_1.mp3
102,B_group,exposure,Aller,fill_nonword,Yes,No,Aller,NA,1,Aller_1.mp3
103,B_group,exposure,Arema,fill_nonword,Yes,No,Arema,NA,1,Arema_1.mp3
104,B_group,exposure,Chame,fill_nonword,Yes,No,Chame,NA,1,Chame_1.mp3
105,B_group,exposure,Charle,fill_nonword,Yes,No,Charle,NA,1,Charle_1.mp3
106,B_group,exposure,Cheel,fill_nonword,Yes,No,Cheel,NA,1,Cheel_1.mp3
107,B_group,exposure,Churr,fill_nonword,Yes,No,Churr,NA,1,Churr_1.mp3
108,B_group,exposure,Eamer,fill_nonword,Yes,No,Eamer,NA,1,Eamer_1.mp3
109,B_group,exposure,Eelam,fill_nonword,Yes,No,Eelam,NA,1,Eelam_1.mp3
110,B_group,exposure,Elammer,fill_nonword,Yes,No,Elammer,NA,1,Elammer_1.mp3
111,B_group,exposure,Enlow,fill_nonword,Yes,No,Enlow,NA,1,Enlow_1.mp3
112,B_group,exposure,Eynam,fill_nonword,Yes,No,Eynam,NA,1,Eynam_1.mp3
113,B_group,exposure,Fairdon,fill_nonword,Yes,No,Fairdon,NA,1,Fairdon_1.mp3
114,B_group,exposure,Feen,fill_nonword,Yes,No,Feen,NA,1,Feen_1.mp3
115,B_group,exposure,Felmy,fill_nonword,Yes,No,Felmy,NA,1,Felmy_1.mp3
116,B_group,exposure,Fime,fill_nonword,Yes,No,Fime,NA,1,Fime_1.mp3
117,B_group,exposure,Finneran,fill_nonword,Yes,No,Finneran,NA,1,Finneran_1.mp3
118,B_group,exposure,Flangle,fill_nonword,Yes,No,Flangle,NA,1,Flangle_1.mp3
119,B_group,exposure,Fonnow,fill_nonword,Yes,No,Fonnow,NA,1,Fonnow_1.mp3
120,B_group,exposure,Foon,fill_nonword,Yes,No,Foon,NA,1,Foon_1.mp3
121,B_group,exposure,Hallen,fill_nonword,Yes,No,Hallen,NA,1,Hallen_1.mp3
122,B_group,exposure,Hame,fill_nonword,Yes,No,Hame,NA,1,Hame_1.mp3
123,B_group,exposure,Harl,fill_nonword,Yes,No,Harl,NA,1,Harl_1.mp3
124,B_group,exposure,Harn,fill_nonword,Yes,No,Harn,NA,1,Harn_1.mp3
125,B_group,exposure,Harnomy,fill_nonword,Yes,No,Harnomy,NA,1,Harnomy_1.mp3
126,B_group,exposure,Heln,fill_nonword,Yes,No,Heln,NA,1,Heln_1.mp3
127,B_group,exposure,Hemmerle,fill_nonword,Yes,No,Hemmerle,NA,1,Hemmerle_1.mp3
128,B_group,exposure,Hemmery,fill_nonword,Yes,No,Hemmery,NA,1,Hemmery_1.mp3
129,B_group,exposure,Heon,fill_nonword,Yes,No,Heon,NA,1,Heon_1.mp3
130,B_group,exposure,Heyn,fill_nonword,Yes,No,Heyn,NA,1,Heyn_1.mp3
131,B_group,exposure,Hing,fill_nonword,Yes,No,Hing,NA,1,Hing_1.mp3
132,B_group,exposure,Hino,fill_nonword,Yes,No,Hino,NA,1,Hino_1.mp3
133,B_group,exposure,Hollin,fill_nonword,Yes,No,Hollin,NA,1,Hollin_1.mp3
134,B_group,exposure,Hoy,fill_nonword,Yes,No,Hoy,NA,1,Hoy_1.mp3
135,B_group,exposure,Hurn,fill_nonword,Yes,No,Hurn,NA,1,Hurn_1.mp3
136,B_group,exposure,Immel,fill_nonword,Yes,No,Immel,NA,1,Immel_1.mp3
137,B_group,exposure,Jare,fill_nonword,Yes,No,Jare,NA,1,Jare_1.mp3
138,B_group,exposure,Jeel,fill_nonword,Yes,No,Jeel,NA,1,Jeel_1.mp3
139,B_group,exposure,Jum,fill_nonword,Yes,No,Jum,NA,1,Jum_1.mp3
140,B_group,exposure,Jurio,fill_nonword,Yes,No,Jurio,NA,1,Jurio_1.mp3
141,B_group,exposure,Lahm,fill_nonword,Yes,No,Lahm,NA,1,Lahm_1.mp3
142,B_group,exposure,Lail,fill_nonword,Yes,No,Lail,NA,1,Lail_1.mp3
143,B_group,exposure,Lamurre,fill_nonword,Yes,No,Lamurre,NA,1,Lamurre_1.mp3
144,B_group,exposure,Lar,fill_nonword,Yes,No,Lar,NA,1,Lar_1.mp3
145,B_group,exposure,Larrow,fill_nonword,Yes,No,Larrow,NA,1,Larrow_1.mp3
146,B_group,exposure,Lemmela,fill_nonword,Yes,No,Lemmela,NA,1,Lemmela_1.mp3
147,B_group,exposure,Lennim,fill_nonword,Yes,No,Lennim,NA,1,Lennim_1.mp3
148,B_group,exposure,Leonie,fill_nonword,Yes,No,Leonie,NA,1,Leonie_1.mp3
149,B_group,exposure,Lermie,fill_nonword,Yes,No,Lermie,NA,1,Lermie_1.mp3
150,B_group,exposure,Loanler,fill_nonword,Yes,No,Loanler,NA,1,Loanler_1.mp3
151,B_group,exposure,Loff,fill_nonword,Yes,No,Loff,NA,1,Loff_1.mp3
152,B_group,exposure,Lum,fill_nonword,Yes,No,Lum,NA,1,Lum_1.mp3
153,B_group,exposure,Mallon,fill_nonword,Yes,No,Mallon,NA,1,Mallon_1.mp3
154,B_group,exposure,Mang,fill_nonword,Yes,No,Mang,NA,1,Mang_1.mp3
155,B_group,exposure,Mannow,fill_nonword,Yes,No,Mannow,NA,1,Mannow_1.mp3
156,B_group,exposure,Marn,fill_nonword,Yes,No,Marn,NA,1,Marn_1.mp3
157,B_group,exposure,Mawen,fill_nonword,Yes,No,Mawen,NA,1,Mawen_1.mp3
