index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,folder,path,path
34,P_group,left,exposure,Boil,crit_unamb,Yes,No,Boil_Poil_1.mp3,NA,1,unambiguous/,unambiguous/Boil_Poil_1.mp3,Boil_Poil_1.mp3
35,P_group,left,exposure,Boom,crit_unamb,Yes,No,Boom_Poom_1.mp3,NA,1,unambiguous/,unambiguous/Boom_Poom_1.mp3,Boom_Poom_1.mp3
36,P_group,left,exposure,Brain,crit_unamb,Yes,No,Brain_Prain_1.mp3,NA,1,unambiguous/,unambiguous/Brain_Prain_1.mp3,Brain_Prain_1.mp3
37,P_group,left,exposure,Brewery,crit_unamb,Yes,No,Brewery_Prewery_3.mp3,NA,3,unambiguous/,unambiguous/Brewery_Prewery_3.mp3,Brewery_Prewery_3.mp3
38,P_group,left,exposure,Brown,crit_unamb,Yes,No,Brown_Prown_1.mp3,NA,1,unambiguous/,unambiguous/Brown_Prown_1.mp3,Brown_Prown_1.mp3
39,P_group,left,exposure,Burial,crit_unamb,Yes,No,Burial_Purial_1.mp3,NA,1,unambiguous/,unambiguous/Burial_Purial_1.mp3,Burial_Purial_1.mp3
40,P_group,left,exposure,Burrow,crit_unamb,Yes,No,Burrow_Purrow_1.mp3,NA,1,unambiguous/,unambiguous/Burrow_Purrow_1.mp3,Burrow_Purrow_1.mp3
41,P_group,left,exposure,Aisle,fill_word,Yes,No,Aisle,NA,1,word/,word/Aisle_1.mp3,Aisle_1.mp3
42,P_group,left,exposure,Ally,fill_word,Yes,No,Ally,NA,1,word/,word/Ally_1.mp3,Ally_1.mp3
43,P_group,left,exposure,Area,fill_word,Yes,No,Area,NA,1,word/,word/Area_1.mp3,Area_1.mp3
44,P_group,left,exposure,Arena,fill_word,Yes,No,Arena,NA,1,word/,word/Arena_1.mp3,Arena_1.mp3
45,P_group,left,exposure,Arrow,fill_word,Yes,No,Arrow,NA,1,word/,word/Arrow_1.mp3,Arrow_1.mp3
46,P_group,left,exposure,Assume,fill_word,Yes,No,Assume,NA,1,word/,word/Assume_1.mp3,Assume_1.mp3
47,P_group,left,exposure,Aware,fill_word,Yes,No,Aware,NA,1,word/,word/Aware_1.mp3,Aware_1.mp3
48,P_group,left,exposure,Enemy,fill_word,Yes,No,Enemy,NA,1,word/,word/Enemy_1.mp3,Enemy_1.mp3
49,P_group,left,exposure,Ensure,fill_word,Yes,No,Ensure,NA,1,word/,word/Ensure_1.mp3,Ensure_1.mp3
50,P_group,left,exposure,Error,fill_word,Yes,No,Error,NA,1,word/,word/Error_1.mp3,Error_1.mp3
51,P_group,left,exposure,Eye,fill_word,Yes,No,Eye,NA,1,word/,word/Eye_1.mp3,Eye_1.mp3
