index,group,target,type,word_sel,nonword_sel,set,step,recording,path
32,P_group,Billionaire,crit_unamb,Yes,No,Billionaire_Pillionaire_3,30,3,Billionaire_Pillionaire_3_30.mp3
33,P_group,Blue,crit_unamb,Yes,No,Blue_Plue_3,30,3,Blue_Plue_3_30.mp3
34,P_group,Boil,crit_unamb,Yes,No,Boil_Poil_1,30,1,Boil_Poil_1_30.mp3
35,P_group,Boom,crit_unamb,Yes,No,Boom_Poom_1,30,1,Boom_Poom_1_30.mp3
36,P_group,Brain,crit_unamb,Yes,No,Brain_Prain_3,30,3,Brain_Prain_3_30.mp3
37,P_group,Brewery,crit_unamb,Yes,No,Brewery_Prewery_1,30,1,Brewery_Prewery_1_30.mp3
38,P_group,Brown,crit_unamb,Yes,No,Brown_Prown_3,27,3,Brown_Prown_3_27.mp3
39,P_group,Burial,crit_unamb,Yes,No,Burial_Purial_3,30,3,Burial_Purial_3_30.mp3
40,P_group,Burrow,crit_unamb,Yes,No,Burrow_Purrow_3,30,3,Burrow_Purrow_3_30.mp3
41,P_group,Aisle,fill_word,Yes,No,Aisle,NA,1,Aisle_1.mp3
42,P_group,Ally,fill_word,Yes,No,Ally,NA,1,Ally_1.mp3
43,P_group,Area,fill_word,Yes,No,Area,NA,1,Area_1.mp3
44,P_group,Arena,fill_word,Yes,No,Arena,NA,1,Arena_1.mp3
45,P_group,Arrow,fill_word,Yes,No,Arrow,NA,1,Arrow_1.mp3
46,P_group,Assume,fill_word,Yes,No,Assume,NA,1,Assume_1.mp3
47,P_group,Aware,fill_word,Yes,No,Aware,NA,1,Aware_1.mp3
48,P_group,Enemy,fill_word,Yes,No,Enemy,NA,1,Enemy_1.mp3
49,P_group,Ensure,fill_word,Yes,No,Ensure,NA,1,Ensure_1.mp3
50,P_group,Error,fill_word,Yes,No,Error,NA,1,Error_1.mp3
51,P_group,Eye,fill_word,Yes,No,Eye,NA,1,Eye_1.mp3
52,P_group,Failure,fill_word,Yes,No,Failure,NA,1,Failure_1.mp3
53,P_group,Famous,fill_word,Yes,No,Famous,NA,1,Famous_1.mp3
54,P_group,Flower,fill_word,Yes,No,Flower,NA,1,Flower_1.mp3
55,P_group,Frame,fill_word,Yes,No,Frame,NA,1,Frame_1.mp3
56,P_group,Funnel,fill_word,Yes,No,Funnel,NA,1,Funnel_1.mp3
57,P_group,Hallway,fill_word,Yes,No,Hallway,NA,1,Hallway_1.mp3
58,P_group,Hang,fill_word,Yes,No,Hang,NA,1,Hang_1.mp3
59,P_group,Harmony,fill_word,Yes,No,Harmony,NA,1,Harmony_1.mp3
60,P_group,Hill,fill_word,Yes,No,Hill,NA,1,Hill_1.mp3
61,P_group,Hole,fill_word,Yes,No,Hole,NA,1,Hole_1.mp3
62,P_group,Horn,fill_word,Yes,No,Horn,NA,1,Horn_1.mp3
63,P_group,Jelly,fill_word,Yes,No,Jelly,NA,1,Jelly_1.mp3
64,P_group,Jewel,fill_word,Yes,No,Jewel,NA,1,Jewel_1.mp3
65,P_group,Lawyer,fill_word,Yes,No,Lawyer,NA,1,Lawyer_1.mp3
66,P_group,Layer,fill_word,Yes,No,Layer,NA,1,Layer_1.mp3
67,P_group,Learning,fill_word,Yes,No,Learning,NA,1,Learning_1.mp3
68,P_group,Low,fill_word,Yes,No,Low,NA,1,Low_1.mp3
69,P_group,Main,fill_word,Yes,No,Main,NA,1,Main_1.mp3
70,P_group,Marine,fill_word,Yes,No,Marine,NA,1,Marine_1.mp3
71,P_group,Memory,fill_word,Yes,No,Memory,NA,1,Memory_1.mp3
72,P_group,Money,fill_word,Yes,No,Money,NA,1,Money_1.mp3
73,P_group,Name,fill_word,Yes,No,Name,NA,1,Name_1.mp3
74,P_group,Narrow,fill_word,Yes,No,Narrow,NA,1,Narrow_1.mp3
75,P_group,Normal,fill_word,Yes,No,Normal,NA,1,Normal_1.mp3
76,P_group,Nun,fill_word,Yes,No,Nun,NA,1,Nun_1.mp3
77,P_group,Phenomenon,fill_word,Yes,No,Phenomenon,NA,1,Phenomenon_1.mp3
78,P_group,Rally,fill_word,Yes,No,Rally,NA,1,Rally_1.mp3
79,P_group,Range,fill_word,Yes,No,Range,NA,1,Range_1.mp3
80,P_group,Real,fill_word,Yes,No,Real,NA,1,Real_1.mp3
81,P_group,Reign,fill_word,Yes,No,Reign,NA,1,Reign_1.mp3
82,P_group,Ring,fill_word,Yes,No,Ring,NA,1,Ring_1.mp3
83,P_group,Roar,fill_word,Yes,No,Roar,NA,1,Roar_1.mp3
84,P_group,Royal,fill_word,Yes,No,Royal,NA,1,Royal_1.mp3
85,P_group,Ruin,fill_word,Yes,No,Ruin,NA,1,Ruin_1.mp3
86,P_group,Rumor,fill_word,Yes,No,Rumor,NA,1,Rumor_1.mp3
87,P_group,Runner,fill_word,Yes,No,Runner,NA,1,Runner_1.mp3
88,P_group,Sailor,fill_word,Yes,No,Sailor,NA,1,Sailor_1.mp3
89,P_group,Seal,fill_word,Yes,No,Seal,NA,1,Seal_1.mp3
90,P_group,Shell,fill_word,Yes,No,Shell,NA,1,Shell_1.mp3
91,P_group,Similar,fill_word,Yes,No,Similar,NA,1,Similar_1.mp3
92,P_group,Soil,fill_word,Yes,No,Soil,NA,1,Soil_1.mp3
93,P_group,Valley,fill_word,Yes,No,Valley,NA,1,Valley_1.mp3
94,P_group,Vary,fill_word,Yes,No,Vary,NA,1,Vary_1.mp3
95,P_group,Venue,fill_word,Yes,No,Venue,NA,1,Venue_1.mp3
96,P_group,Violin,fill_word,Yes,No,Violin,NA,1,Violin_1.mp3
97,P_group,Volume,fill_word,Yes,No,Volume,NA,1,Volume_1.mp3
98,P_group,Sewer,fill_word,Yes,No,Sewer,NA,1,Sewer_1.mp3
99,P_group,Swear,fill_word,Yes,No,Swear,NA,1,Swear_1.mp3
100,P_group,Throne,fill_word,Yes,No,Throne,NA,1,Throne_1.mp3
101,P_group,Alinomy,fill_nonword,Yes,No,Alinomy,NA,1,Alinomy_1.mp3
102,P_group,Aller,fill_nonword,Yes,No,Aller,NA,1,Aller_1.mp3
103,P_group,Arema,fill_nonword,Yes,No,Arema,NA,1,Arema_1.mp3
104,P_group,Chame,fill_nonword,Yes,No,Chame,NA,1,Chame_1.mp3
105,P_group,Charle,fill_nonword,Yes,No,Charle,NA,1,Charle_1.mp3
106,P_group,Cheel,fill_nonword,Yes,No,Cheel,NA,1,Cheel_1.mp3
107,P_group,Churr,fill_nonword,Yes,No,Churr,NA,1,Churr_1.mp3
108,P_group,Eamer,fill_nonword,Yes,No,Eamer,NA,1,Eamer_1.mp3
109,P_group,Eelam,fill_nonword,Yes,No,Eelam,NA,1,Eelam_1.mp3
110,P_group,Elammer,fill_nonword,Yes,No,Elammer,NA,1,Elammer_1.mp3
111,P_group,Enlow,fill_nonword,Yes,No,Enlow,NA,1,Enlow_1.mp3
112,P_group,Eynam,fill_nonword,Yes,No,Eynam,NA,1,Eynam_1.mp3
113,P_group,Fairdon,fill_nonword,Yes,No,Fairdon,NA,1,Fairdon_1.mp3
114,P_group,Feen,fill_nonword,Yes,No,Feen,NA,1,Feen_1.mp3
115,P_group,Felmy,fill_nonword,Yes,No,Felmy,NA,1,Felmy_1.mp3
116,P_group,Fime,fill_nonword,Yes,No,Fime,NA,1,Fime_1.mp3
117,P_group,Finneran,fill_nonword,Yes,No,Finneran,NA,1,Finneran_1.mp3
118,P_group,Flangle,fill_nonword,Yes,No,Flangle,NA,1,Flangle_1.mp3
119,P_group,Fonnow,fill_nonword,Yes,No,Fonnow,NA,1,Fonnow_1.mp3
120,P_group,Foon,fill_nonword,Yes,No,Foon,NA,1,Foon_1.mp3
121,P_group,Hallen,fill_nonword,Yes,No,Hallen,NA,1,Hallen_1.mp3
122,P_group,Hame,fill_nonword,Yes,No,Hame,NA,1,Hame_1.mp3
123,P_group,Harl,fill_nonword,Yes,No,Harl,NA,1,Harl_1.mp3
124,P_group,Harn,fill_nonword,Yes,No,Harn,NA,1,Harn_1.mp3
125,P_group,Harnomy,fill_nonword,Yes,No,Harnomy,NA,1,Harnomy_1.mp3
126,P_group,Heln,fill_nonword,Yes,No,Heln,NA,1,Heln_1.mp3
127,P_group,Hemmerle,fill_nonword,Yes,No,Hemmerle,NA,1,Hemmerle_1.mp3
128,P_group,Hemmery,fill_nonword,Yes,No,Hemmery,NA,1,Hemmery_1.mp3
129,P_group,Heon,fill_nonword,Yes,No,Heon,NA,1,Heon_1.mp3
130,P_group,Heyn,fill_nonword,Yes,No,Heyn,NA,1,Heyn_1.mp3
131,P_group,Hing,fill_nonword,Yes,No,Hing,NA,1,Hing_1.mp3
132,P_group,Hino,fill_nonword,Yes,No,Hino,NA,1,Hino_1.mp3
133,P_group,Hollin,fill_nonword,Yes,No,Hollin,NA,1,Hollin_1.mp3
134,P_group,Hoy,fill_nonword,Yes,No,Hoy,NA,1,Hoy_1.mp3
135,P_group,Hurn,fill_nonword,Yes,No,Hurn,NA,1,Hurn_1.mp3
136,P_group,Immel,fill_nonword,Yes,No,Immel,NA,1,Immel_1.mp3
137,P_group,Jare,fill_nonword,Yes,No,Jare,NA,1,Jare_1.mp3
138,P_group,Jeel,fill_nonword,Yes,No,Jeel,NA,1,Jeel_1.mp3
139,P_group,Jum,fill_nonword,Yes,No,Jum,NA,1,Jum_1.mp3
